Strategy,Position,Trade Price,Trade Time,Eval Time,Status
MCDSMA1H,-100,,,,
MCDSMA2S,-100,,,,
MCDSMA3M,0,,,,
MCDSMA4G,-100,,,,
MCDSMA5N,-100,,,,
MCDSMA6SS,-100,,,,
MCDSMA7RS,-100,,,,
MCDEMA1H,-100,,,,
MCDEMA2S,-100,,,,
MCDEMA3M,-100,,,,
MCDEMA4G,-100,,,,
MCDEMA5N,-100,,,,
MCDEMA6SS,-100,,,,
MCDEMA7RS,-100,,,,
MC30EMA1SS,-100,,,,
MC30EMA2RS,-100,,,,
MC30EMA3H,-100,12099.0,2025-01-21 10:45:10.786433,2025-01-21 10:45:10.786433,-1
MC30SMA1H,-100,,,,
MC30SMA2S,-100,,,,
MC30SMA3M,-100,,,,
MC30SMA4G,100,,,,
MC30ST1N,-100,12227.05,2025-01-21 10:15:11.379790,2025-01-21 10:15:11.379790,-1
MC30ST2M,-100,12227.05,2025-01-21 10:15:12.180158,2025-01-21 10:15:12.180158,-1
MC15EMA1RS,-100,12115.15,2025-01-21 11:00:07.227176,2025-01-21 11:00:07.227176,-1
MC15EMA2H,-100,12279.35,2025-01-21 10:00:07.322596,2025-01-21 10:00:07.322596,-1
MC15SMA1G,-100,,,,
MC15SMA2N,100,,,,
MC15SMA3S,-100,12094.95,2025-01-21 11:30:07.827695,2025-01-21 11:30:07.827695,-1
MC15ST1N,-100,12310.95,2025-01-21 09:45:07.855782,2025-01-21 09:45:07.855782,-1
MC15ST2S,-100,12227.05,2025-01-21 10:15:08.185961,2025-01-21 10:15:08.185961,-1
MC5EMA1RS,-100,12106.55,2025-01-21 10:40:03.290665,2025-01-21 10:40:03.290665,-1
MC5EMA2SS,-100,12116.3,2025-01-21 10:55:03.427841,2025-01-21 10:55:03.427841,-1
MC5EMA3SS,-100,12116.3,2025-01-21 10:55:04.209131,2025-01-21 10:55:04.209131,-1
MC5ST1M,-100,12310.95,2025-01-21 09:35:05.549333,2025-01-21 09:35:05.549333,-1
MC5ST2G,-100,12318.9,2025-01-21 09:25:04.846997,2025-01-21 09:25:04.846997,-1
